Date,NAV
1/31/98,414.3
2/28/98,428.85
3/31/98,442.68
4/30/98,457.75
5/31/98,456.37
6/30/98,464.87
7/31/98,441.39
8/31/98,394.65
9/30/98,393.41
10/31/98,387.22
11/30/98,403.3
12/31/98,412.11
1/31/99,424.51
2/28/99,416.27
3/31/99,425.11
4/30/99,427.93
5/31/99,426.69
6/30/99,441.57
7/31/99,434.1
8/31/99,433.27
9/30/99,439.32
10/31/99,444.96
11/30/99,463.72
12/31/99,493.81
1/31/00,493.31
2/29/00,538.39
3/31/00,531.6
4/30/00,509.86
5/31/00,500.55
6/30/00,526.55
7/31/00,518.58
8/31/00,539.99
9/30/00,527.55
10/31/00,527.91
11/30/00,505.19
12/31/00,524.85
1/31/01,541.58
2/28/01,536.78
3/31/01,534.23
4/30/01,539.01
5/31/01,543.42
6/30/01,553.87
7/31/01,552.13
8/31/01,550.71
9/30/01,538.39
10/31/01,548.62
11/30/01,552.26
12/31/01,560.87
1/31/02,566.58
2/28/02,567.64
3/31/02,570.13
4/30/02,569.79
5/31/02,569.14
6/30/02,568.24
7/31/02,556.5
8/31/02,559.87
9/30/02,557.29
10/31/02,565.02
11/30/02,575.4
12/31/02,575.95
1/31/03,578.41
2/28/03,578.06
3/31/03,581.02
4/30/03,590.18
5/31/03,602.64
6/30/03,611.71
7/31/03,612.52
8/31/03,617.32
9/30/03,623.59
10/31/03,631.4
11/30/03,637.83
12/31/03,649.39
1/31/04,652.48
2/29/04,660.2
3/31/04,661.87
4/30/04,663.19
5/31/04,671.26
6/30/04,677.32
7/31/04,675.08
8/31/04,678.25
9/30/04,684.42
10/31/04,688.31
11/30/04,704.3
12/31/04,709.46
1/31/05,704.84
2/28/05,715.3
3/31/05,708.12
4/30/05,704.87
5/31/05,710.51
6/30/05,716.69
7/31/05,727.49
8/31/05,740.16
9/30/05,751.5
10/31/05,746.96
11/30/05,755.76
12/31/05,770.05
1/31/06,790.79
2/28/06,792.98
3/31/06,804.87
4/30/06,818.1
5/31/06,807.31
6/30/06,810.53
7/31/06,818.05
8/31/06,832.72
9/30/06,838
10/31/06,860.69
11/30/06,877.63
12/31/06,893.15
1/31/07,902.58
2/28/07,913.47
3/31/07,930.81
4/30/07,954.16
5/31/07,963.94
6/30/07,962.45
7/31/07,956.26
8/31/07,959.73
9/30/07,996.21
10/31/07,1025.73
11/30/07,1000.95
12/31/07,1004.14
1/31/08,965.2
2/29/08,989.87
3/31/08,989.87
4/30/08,1009.59
5/31/08,1021.39
6/30/08,1009.74
7/31/08,1003.53
8/31/08,994.59
9/30/08,929.94
10/31/08,858.96
11/30/08,852.81
12/31/08,882.89
1/31/09,893.86
2/28/09,888.24
3/31/09,907.92
4/30/09,918.22
5/31/09,937.52
6/30/09,947.26
7/31/09,966.39
8/31/09,973.35
9/30/09,990.08
10/31/09,986.46
11/30/09,992.41
12/31/09,1000
1/31/10,1000.47
2/28/10,1008
3/31/10,1018.29
4/30/10,1029.93
5/31/10,1002.73
6/30/10,998.76
7/31/10,1029.89
8/31/10,1018.14
9/30/10,1054.54
10/31/10,1066.53
11/30/10,1052.74
12/31/10,1081.85
1/31/11,1083.78
2/28/11,1101.1
3/31/11,1115.19
4/30/11,1135.78
5/31/11,1125.56
6/30/11,1119.06
7/31/11,1108.48
8/31/11,1071.28
9/30/11,1032.55
10/31/11,1075.57
11/30/11,1071.36
12/31/11,1081.21
1/31/12,1095.66
2/29/12,1114.39
3/31/12,1105.13
4/30/12,1102.15
5/31/12,1076.55
6/30/12,1091.57
7/31/12,1101.03
8/31/12,1106.84
9/30/12,1113.37
10/31/12,1106.23
11/30/12,1103.57
12/31/12,1116.02
1/31/13,1128.26
2/28/13,1126.44
3/31/13,1140.19
4/30/13,1152.9
5/31/13,1152.87
6/30/13,1140.53
7/31/13,1159.63
8/31/13,1147.91
9/30/13,1163.88
10/31/13,1183.09
11/30/13,1192.25
12/31/13,1198
1/31/14,1186.68
2/28/14,1204.42
3/31/14,1208.45
4/30/14,1209.79
5/31/14,1217.11
6/30/14,1224.65
7/31/14,1208.94
8/31/14,1231.2
9/30/14,1219.89
10/31/14,1227.4
11/30/14,1244.61
12/31/14,1241.15
1/31/15,1237.35
2/28/15,1269.95
3/31/15,1273.66
4/30/15,1268.88
5/31/15,1279.4
6/30/15,1253.22
7/31/15,1270.55
8/31/15,1242.22
9/30/15,1224.74
10/31/15,1257.55
11/30/15,1249.67
12/31/15,1231.41
1/31/16,1213.92
2/29/16,1215.47
3/31/16,1229.93
4/30/16,1230.56
5/31/16,1236.18
6/30/16,1245
7/31/16,1262.91
8/31/16,1270.22
9/30/16,1275.94
10/31/16,1276.83
11/30/16,1285.4
12/31/16,1293.41
1/31/17,1294.24
2/28/17,1305.82
3/31/17,1302.7
4/30/17,1306.7
5/31/17,1310.63
6/30/17,1307.96
7/31/17,1317.98
8/31/17,1323.14
9/30/17,1329.26
10/31/17,1338.5
11/30/17,1345.88
12/31/17,1353.41
1/31/18,1380.37
2/28/18,1346.5
3/31/18,1330.76
4/30/18,1338.44
5/31/18,1331.56
6/30/18,1328.05
7/31/18,1336.68
8/31/18,1341.9
9/30/18,1338.63
10/31/18,1305.93
11/30/18,1320.17
12/31/18,1290.78
1/31/19,1329.6
2/28/19,1339.81
3/31/19,1346.45
4/30/19,1360.66
5/31/19,1331.84
6/30/19,1365.6
7/31/19,1370.13
8/31/19,1361.18
9/30/19,1365.88
10/31/19,1372
11/30/19,1382.32
12/31/19,1379.02
